"tipo_Plan","entidad_promotora","conjunto","modalidad_captura","especies_objetivo","zona_Trabajo","dias_maximos","epoca_Trabajo","puntos_control","zonas_trabajo_detallada","ide_plan_explotación",
"AAUT","A.M. Fonte Santa Helena-Baldaio","F","A pé;","CTG, CLJ, COC, RAE, OYF,","Lagoas de Baldaio,","30","De xaneiro a decembro,","Fonte Santa Helena,","(CF-040), (CF-167), banco da lagoa interna,","2017001"
"AAUT","A.M. Esteiro do río Anllóns","F","A pé;","COC, CLJ,","Zona de autorización (marxe dereita da enseada do río Anllóns, entre illa Cagallóns e liña de punta Revoltas, enseada de Insua,","90","De xaneiro a decembro,","Pedras de Cambón, O Pendón, Ourixeira, Lodeiro","Zonas: Autorización (CM-121), Autorización-O Couto (CM-093),","2017002"
"AAUT","C.P. A Coruña","F","A pé; Embarcación;","CTG, CTS, COC, CLJ, OYF, OYG,","Zonas de autorización da parte interna da ría do Burgo, entre a ponte da Pasaxe e a ponte do Burgo,","A pé: 40; Embarcación: 50;","De xaneiro a decembro,","A pé: baixo do edificio Copigal (Oleiros); Embarcación: As Xubias (A Coruña)"," -A Pé: banco do Carniceiro (CF-002), (CF-166), as Maruxas Grande (CF-004), as Maruxas Pequenas (CF-009), (CF-008), zona Sur das Maruxas (CF-005), O Caínzo (CF-006), marxe esquerda (CF- 007), antigo parque do Carniceiro (CF-317), antigo parque ponte da Pasaxe (CF-319),; -Dende embarcación: canle da Ría (CF-001),;","2017003"
"AAUT","C.P. A Pobra do Caramiñal","F","A pé;","CTG, CLJ, CTS, COC, RAE,","De punta Galduario a punta Peralto,","178","Xaneiro, de marzo a decembro,","Areal, Friscos, Franco, lonxa da Pobra do Caramiñal,","Areal (AR-131), Raposiños (AR-132), Ribeiriña-Merced (AR-133),","2017004"
"AAUT","C.P. A Pobra do Caramiñal","F","Embarcación;","CTG, CLJ, CTS, COC, VNA, VNR, VEV, DSX,","De punta Galduario a punta Peralto,","150","Xaneiro, abril a setembro, decembro,","Embarcacións de vixilancia, peirao Onza de Oro en Escarabote, porto da Pobra do Caramiñal, (pantalán atracada),","Areal (AR-134), Raposiños (AR-135), Ínsuas da Ribeiriña (AR-136),","2017005"
"AAUT","C.P. Aguiño","F","Embarcación;","CTS, VNR, VEV, DSX,","Zona de autorización C.P. Aguiño,","234","De xaneiro a decembro,","Zona de traballo. Peirao de Aguiño, En condicións do mar adversas: peirao de Ribeira, peirao do Castro,"," -Zona A (Carreiro): entre Petóns de Centoleira, Con de Agosto,praia de Carreira e praia de Aguiño (AR-210),; -Zona B (O Castro): entre o illote Rabuda, illote Redonda Vella, punta do Castelo e praia de Carreira (AR-211),;  -Zona C (Sálvora): entre norte de Vionta, Cabaceiro Grande, punta Castillo e punta Lagos: (subzona B1: Vionta (AR-212),; subzona B2: Sálvora (AR-213),); Zonas de libre marisqueo entre as autorizacións do Carreiro (AR- 210), praia do Castro (AR-211),;","2017006"
"AAUT","C.P. Barallobre","F","A pé;","CTS, CTG, CLJ, COC, OYF, VNA, PEE, OYG, LPZ, EQK, EQI,","Praias de Barallobre, Maniños,","124","De xaneiro a decembro,","Praia de Maniños,: saída de “Paca”, saída da Telleira,; Praia de Barallobre: rampla fronte á confraría, rampla subida da praia, subida do Ramo, Lonxa de Barallobre,","Praias de Barallobre (CF-138), Maniños (CF-139),","2017007"
"AAUT","C.P. Cabo de Cruz","F","A pé;","CTS, CTG, CLJ, COC, RAE, DSX,","Entre punta Peralto, punta Pedra Rubia,","202","De xaneiro a decembro,","Praia de Barraña: desembocadura do río Coroño, antigas colonias de verán, centro de saúde e baixada a Xión,; Praia da Retorta: baixada á praia da Retorta,; Ladeira do Chazo: rampa de Angazos, ladeira do Chazo,; Praia de Mañóns: baixada de Triñans, baixada de Carmón, aparcamento de Mañóns, baixada ás Redondas,;","Barraña (AR-141), (dende a desembocadura do Río Coroño ata o arrecife das Marxas); Retorta (AR-143), (praia da Retorta e intermareal dos Baus de fóra); Ladeira do Chazo (AR-144), (dende punta Chazo ata rampla de Angados); Mañóns (AR-145), (AR-146), (dende a rampla de Angados ata punta Pedra Rubia);","2017008"
"AAUT","C.P. Cabo de Cruz","F","Embarcación;","CTG, CLJ, CTS, COC, VNA, VNR, VEV, DSX,","Entre punta Peralto, punta Pedra Rubia,","196","De xaneiro a decembro, con rotación de zonas,","Embarcación da confraría de Cabo de Cruz nas zonas de traballo,","Barraña (AR-147), (AR-148), (dende a desembocadura do Río Coroño ata o porto de Cabo de Cruz, incluíndo a Corvera); Carregueiros (AR-149), (AR-150), (dende o porto de Cabo de Cruz ata a punta do Chazo, incluíndo as inmediacións da Illa Venza e a praia da Retorta); Ladeira do Chazo (AR-151), (de Punta do Chazo ata rampla de Angados); Mañóns (AR-152), (da rampla de Angados ata punta Pedra Rubia);","2017009"
"AAUT","C.P. Camariñas","F","A pé; Embarcación;","CTG, CLJ, CTS, COC, EQI, RAE, PEE,","De punta Lago a punta Roda, de punta Sandía a punta Roda, de punta Sandía a punta Insuela, enseada da Vasa,","192; Solén.: 30; Cm: 30;","De xaneiro a decembro,; Solénidos: de xaneiro a setembro,; Cm: de xaneiro a marzo, de setembro a outubro,;","A Vasa (Fraga do Medio, ponte de Arroio-Trasteiro,); A Paxariña, Area da Vila, Linguade, Canal Río Ponte-Ariña, (Ariño, Leis,);","Area da Vila (CM-129), Lingunde (CM-100), Enseada da Vasa (CM-130), Ariño (CM-133), Canle río da Ponte (CM-131), punta Gallego a fondeadero do Pozo (CM-134), Paxariña (CM-132), punta Lago a punta Roda (CM-135),","2017010"
