"tipo_Plan","entidad_promotora","conjunto","modalidad_captura","especies_objetivo","zona_Trabajo","dias_maximos","epoca_Trabajo","puntos_control","zonas_trabajo_detallada","ide_plan_explotación"
"AAUT","A.M. Fonte Santa Helena-Baldaio","F","A pé;","CTG, CLJ, COC, RAE,","Lagoas de Baldaio,","30","De xaneiro a decembro,","Fonte Santa Helena (caseta),","(CF-040), (CF-167), banco da lagoa interna,","2019001"
"AAUT","A.M Esteiro do río Anllóns","F","A pé;","COC,","Zona de autorización (marxe dereita da enseada do río Anllóns, entre illa Cagallóns, liña de punta Revoltas, enseada de Insua,)","115","De xaneiro a decembro,","Pedras de Cambón, O Pendón, Ourixeira,","Autorización (CM-121), Autorización-O Couto (CM-093),","2019002"
"AAUT","C.P. A Coruña","F","Embarcación;","CTG, CTS, COC, CLJ, OYF, OYG, VNA,","Zonas de autorización da parte interna da ría do Burgo, entre a ponte da Pasaxe e a ponte do Burgo,","80","De xaneiro a decembro,","Casa dos vixiantes no antigo parque Abella,","canle da Ría (CF-001), canles interiores do fondo da ría: (canle de fondo, canles centrais,),","2019003"
"AAUT","C.P. A Coruña","F","A pé;","CTG, CTS, COC, CLJ, OYF, OYG, VNA,","Zonas de autorización da parte interna da ría do Burgo, entre a ponte da Pasaxe e a ponte do Burgo,","75","De xaneiro a decembro,","Baixo do edificio Copigal (Oleiros),","Banco do Carniceiro (CF-002), (CF-166), as Maruxas Grande (CF-004), as Maruxas Pequenas (CF-009), (CF-008), zona Sur das Maruxas (CF-005), O Caínzo (CF-006), marxe esquerda (CF-007), mirador do paseo do Burgo (sen codificar), antigo parque do Carniceiro (CF-317), antigo parque ponte da Pasaxe (CF-319), (estes dous últimos zonas adxacentes de libre marisqueo);","2019004"
"AAUT","C.P. A Pobra do Caramiñal","F","A pé;","CTG, CLJ, CTS, COC, RAE, DSX,","De punta Galduario a punta Peralto,","183","Xaneiro, de marzo a decembro,","Areal, Friscos, Franco, para os bancos de Areal e Raposiños, Ribeira-Merced, lonxa da Pobra,","Areal (AR-131), Raposiños (AR-132), Ribeiriña-Merced (AR-133),","2019005"
"AAUT","C.P. A Pobra do Caramiñal","F","Embarcación;","CTG, CLJ, CTS, COC, VNA, VNR, VEV, DSX,","De punta Galduario a punta Peralto,","150","Xaneiro, abril a setembro, decembro,","Embarcación de vixilancia, peirao Onza de Oro en Escarabote, porto de A Pobra (pantalán atraque),","Areal (AR-134), Raposiños (AR-135), Ínsuas da Ribeiriña (AR-136),","2019006"
"AAUT","C.P. Aguiño","F","Embarcación;","CTS, VNR, VEV, DSX, VNA, GKL, CTG, ULO, KLK, SVE,","Zona de autorización C.P. Aguiño,","200","De xaneiro a decembro,","Zona de traballo, peirao de Aguiño (rambla anexa á lonxa), En condicións do mar adversas: peirao de Ribeira, peirao do Castro,","Zona A (Carreiro): (entre Petóns de Centoleira, Con de Agosto, praia de Carreira, praia de Aguiño,); (AR-210),","2019007"
"AAUT","C.P. Barallobre","F","A pé;","CTS, CTG, CLJ, COC, OYF, VNA, PEE, OYG, LPZ, EQK,","Praias de Barallobre, Maniños,","124","De xaneiro a decembro,","Lonxa de Barallobre,","Praias de Barallobre (CF-138), Maniños (CF-139),","2019008"
"AAUT","C.P. Cabo de Cruz","F","A pé;","CTS, CTG, CLJ, COC, RAE, DSX,","Entre punta Peralto e punta Pedra Rubia,","202","De xaneiro a decembro,","Praia de Barraña, (desembocadura do río Coroño, antigas colonias de verán, centro de saúde, baixada a Xión,); Praia da Retorta, (baixada á praia da Retorta, baixada aos Baos Ladeira do Chazo, punta do Chazo, rampa de Angazos, ladeira do Chazo,); Praia de Mañóns, (baixada de Triñans, baixada de Carmón, aparcamento de Mañóns, baixada ás Redondas,);","Barraña (AR-141), dende a desembocadura do Río Coroño ata o arrecife das Marxas, Retorta (AR-143), (praia da Retorta e intermareal dos Baus de fóra,); Ladeira do Chazo (AR-144), (dende punta Chazo ata rampla de Angados,); Mañóns (AR-145), (AR-146), dende a rampla de Angados ata punta Pedra Rubia,","2019009"
"AAUT","C.P. Cabo de Cruz","F","Embarcación;","CTG, CLJ, CTS, COC, VNA, VNR, VEV, DSX,","Entre punta Peralto e punta Pedra Rubia,","196","De xaneiro a decembro,","Embarcación da confraría, (nas zonas de traballo,)","Barraña (AR-147), (AR-148), (dende a desembocadura do Río Coroño ata o porto de Cabo de Cruz, incluíndo a Corvera,); Carregueiros (AR-149), (AR-150), (dende o porto de Cabo de Cruz ata a punta do Chazo, incluíndo as inmediacións da Illa Venza, a praia da Retorta,); Ladeira do Chazo (AR-151), (de Punta do Chazo ata rampla de Angados,); Mañóns (AR-152), (da rampla de Angados ata punta Pedra Rubia,);","2019010"
"AAUT","C.P. Camariñas","F","A pé; Embarcación;","CTG, CLJ, CTS, COC, RAE, EQI, PEE,","De punta Lago a punta Roda, de punta Sandía a punta Roda, de punta Sandía a punta Insuela, enseada da Vasa,","160, RAE, EQI,: 30, PEE,: 30,","De xaneiro a decembro,","A Vasa, (Fraga do Medio, ponte de Arroyo-Trasteiro,), A Paxariña, Area da Vila, Linguade, Canal Río Ponte-Ariña, (Ariño, Leis,)","Area da Vila (CM-129), Lingunde (CM-100), Enseada da Vasa (CM-130), Ariño (CM-133), Canle río da Ponte (CM-131), punta Gallego-fondeadero do Pozo (CM-134), Paxariña (CM-132), punta Lago a punta Roda (CM-135),","2019011"
"AAUT","C.P. Cariño","F","A pé;","CTG, CTS, CLJ, COC, RAE, OYG,","Autorizacións da C.P. Cariño, (marxe esquerda da Ría de Ortigueira,) entre punta Figueiroa e punta Leixa,","160, RAE,: 20,","De xaneiro a decembro, RAE,: de xullo a setembro,","Punta Figueroa, punta Sismundi, peirao de Sismundi, Macelos, punta Promontorio, punta Fornelos,"," -Área de Figueroa-Sismundi, (Altos da Caleira (CL-080), Novela (CL-064), O Forno-Sismundi (CL-061), (CL-062),; Pena Redonda (CL-060),); -Área de Feás, (Cascabellal-Macelos (CL-079), Puntal (CL-077), Meá (CL-078), O Pino (enseada de Esteiro) (CL-216),); -Área de Fornelos, (Poza da Xelfa (CL-074), Saiña (CL-073), Petón (CL-075), Puntal de punta Leixa e Arnela (CL-076),);","2019012"
"AAUT","C.P. Cedeira","F","A pé;","COC, CTG, PEE,","Enseada de Esteiro, Enseada de Pantín,","198","De xaneiro a abril, de xuño a decembro,","O Cubilote na enseada de Esteiro, o Alfunil na enseada de Pantín, caseta de Villa Herminia en Vilarrube,","Enseada de Esteiro (CL-048), (CL-053),; enseada de Pantín (CL-047), zonas de libre marisqueo da enseada de Esteiro (CL-214),;","2019013"
"AAUT","C.P. Espasante","F","A pé;","CTG, CTS, CLJ, COC, RAE, PEE, LPZ, OYF, OYG,","Dende o sur peirao de Ortigueira - punta do Pinar - punta Pedrouselo,; peirao de Ortigueira - punta Mouras - punta Canteira - punta Cabalar - praia San Martín,; entre peirao de Ortigueira - punta Gándara, - a Enseada de Ladrido, entre Pena de Foz e Pena de San Pedro,","150","De xaneiro a decembro,","Peirao de Ortigueira, Peirao de Ladrido, Cano de Cabalar, Lagarea,","Praia Cabalar (CL-029), Cano Cabalar (CL-030), Mexilloal (CL-031), Raias I (CL-032), Raias II (CL-033), Raias III (CL-034), Senra (CL-036), Cano Central (CL-037), Lagarea (CL-090), Canal de entrada (CL-092),","2019014"
"AAUT","C.P. Ferrol, C.P. Barallobre, (plan conxunto)","T","A pé; Embarcación;","CTS, CTG, CLJ, COC, VEV, DSX, VNA, OYF,","Autorización das Pías, (Entre liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías cara ao interior da ría, (agás a enseada da Gándara). Entre liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías, liña imaxinaria que une o extremo leste da ponte das Pías coa punta O Montón, Liña imaxinaria que une o extremo leste da ponte de As Pías coa punta O Montón, a liña imaxinaria que une a punta do Montón coa punta das Pías,)","180","De xaneiro a decembro,","Embarcación de vixilancia, a flote nas zonas de extracción,","Autorización das Pías, (CF-143), (CF-144), (CF-145),: (-As Pías interna, delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías cara ao interior da ría, agás a enseada da Gándara (GAL 03/08-2), -As Pías externa, delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías e a liña imaxinaria que une o extremo leste da ponte de As Pías coa punta de O Montón (GAL 03/08-1), -Zona de libre marisqueo, delimitada entre a liña imaxinaria que une o extremo leste da ponte de As Pías coa punta de O Montón e a liña imaxinaria que une a punta do Montón con punta das Pías (GAL 03/08-1),;)","2019015"
